tpop   npop     area    sales
59	15	178	313
31	6	146	105
30	4	106	59
20	1	60	19
7	1	16	24
16	NA	50	15
27	6	67	93
94	26	291	637
96	48	331	1263
203	99	599	2796
314	152	925	4214
395	207	NA       5419
445	233	1338	6559
473	271	1641	7536
467	268	1564	8136
438	236	1527	7023
477	NA	1548	7524
440	239	1431	6660
355	179	1213	5293
283	115	911	3468
231	93	810	3007
194	62	610	1868
131	33	393	812
68	14	245	453
48	7	151	145
32	5	 NA	128
31	5	90	126
13	2	37	55
10	2	28	51
19	3	46	57
22	7	54	136
54	18	163	420
67	33	215	1076
134	70	494	2236
197	115	614	3272
287	173	923	5266
389	NA	1361	7017
402	215	1413	6737
457	253	1545	7344
434	268	1391	8635
425	215	1426	6249
394	224	1179	6483
386	211	1252	5691
270	134	982	4136
181	75	599	2231
142	67	NA	2021
100	14	317	344
49	9	162	231
38	5	117	86
20	6	60	110
26	2	69	58
10	2	23	79
7	0	13	0
21	2	48	29
34	3	126	48
84	15	210	308
138	40	394	938
183	71	547	1978
272	110	855	3015
308	142	923	3536
342	135	1111	3472
370	165	1294	4040
343	173	1207	4696
337	150	1110	3710
419	172	1368	4798
423	211	1478	5749
402	166	1450	4608
276	143	922	4370
248	85	772	2175
161	56	625	1641
82	28	276	841
44	9	133	188
37	8	81	183
26	1	60	26
31	2	74	29
10	0	26	0
6	1	18	33
15	1	47	13
55	6	143	144
97	24	289	668
154	46	502	1358
193	79	580	2067
273	137	935	3672
331	171	1102	4904
336	211	1111	5488
368	196	1305	5695
398	228	1250	6210
409	198	1463	5583
410	257	1306	7273
419	237	1450	6408
368	256	1261	7288
310	191	1026	5610
214	113	758	3463
138	68	469	2003
102	35	374	986
65	32	234	788
30	12	64	301
33	12	101	314
25	3	66	38
11	1	28	24
16	2	69	75
26	2	76	30
56	13	147	237
103	43	336	975
154	87	511	2395
212	154	738	4282
313	215	1089	6540
393	287	1304	8497
432	321	1525	8832
433	308	1559	8797
429	296	1575	8625
434	305	1408	8645
471	368	1556	10751
467	353	1594	10640
466	373	1597	11085
357	315	1236	9452
315	172	1111	4335
240	135	868	3902
140	72	541	1808
63	31	257	936
51	14	192	423
43	16	144	442
39	14	99	316
14	0	40	0
10	5	39	144
34	9	100	293
60	12	213	279
120	41	441	890
211	90	696	2447
262	123	814	3264
